,State Name,Dist Name,Annual Rainfall(mm),NITROGEN SHARE IN NPK (Percent),PHOSPHATE SHARE IN NPK (Percent),POTASH SHARE IN NPK (Percent),Avg Max Temp,Avg Min Temp,Latitude,Longitude,best_crop,Soil_type
10,Chhattisgarh,Raipur,1388.0,58.0,29.2,12.8,32.52,21.12,21.2,81.7,MAIZE,USTALF/USTOLLS 
11,Chhattisgarh,Raipur,1388.0,63.9,30.9,5.2,32.97,21.54,21.2,81.7,RICE,USTALF/USTOLLS 
12,Chhattisgarh,Raipur,1388.0,56.9,33.2,9.9,32.48,21.11,21.2,81.7,MAIZE,USTALF/USTOLLS 
13,Chhattisgarh,Raipur,1388.0,68.3,24.7,7.0,32.92,21.5,21.2,81.7,MAIZE,USTALF/USTOLLS 
14,Chhattisgarh,Raigarh,1628.0,66.6,29.4,4.0,31.53,21.41,21.9,83.4,WHEAT,USTALF/USTOLLS 
15,Chhattisgarh,Raigarh,1628.0,65.8,29.6,4.6,31.73,21.54,21.9,83.4,MAIZE,USTALF/USTOLLS 
16,Chhattisgarh,Raigarh,1628.0,66.4,28.1,5.6,31.38,21.29,21.9,83.4,MAIZE,USTALF/USTOLLS 
17,Chhattisgarh,Raigarh,1628.0,64.4,26.8,8.7,31.69,21.58,21.9,83.4,WHEAT,USTALF/USTOLLS 
18,Chhattisgarh,Raigarh,1628.0,64.0,28.5,7.4,31.81,21.76,21.9,83.4,WHEAT,USTALF/USTOLLS 
19,Chhattisgarh,Surguja,1406.0,49.9,41.4,8.7,29.82,18.36,23.1,83.2,RICE,USTALF/USTOLLS 
20,Chhattisgarh,Surguja,1406.0,53.0,40.1,7.0,30.06,18.24,23.1,83.2,MAIZE,USTALF/USTOLLS 
21,Chhattisgarh,Surguja,1406.0,69.7,24.6,5.7,29.49,17.93,23.1,83.2,MAIZE,USTALF/USTOLLS 
22,Chhattisgarh,Surguja,1406.0,54.9,29.3,15.7,29.63,18.0,23.1,83.2,RICE,USTALF/USTOLLS 
23,Chhattisgarh,Surguja,1406.0,61.1,29.4,9.5,29.68,18.12,23.1,83.2,MAIZE,USTALF/USTOLLS 
24,Madhya Pradesh,Jabalpur,1447.0,59.4,36.7,3.9,31.79,18.85,23.0,80.0,SUGARCANE,VERTIC SOILS 
25,Madhya Pradesh,Jabalpur,1447.0,62.0,33.7,4.3,31.89,18.95,23.0,80.0,SUGARCANE,VERTIC SOILS 
26,Madhya Pradesh,Jabalpur,1447.0,71.9,27.5,0.6,31.44,18.5,23.0,80.0,SUGARCANE,VERTIC SOILS 
27,Madhya Pradesh,Jabalpur,1447.0,69.7,28.4,1.9,32.25,19.31,23.0,80.0,MAIZE,VERTIC SOILS 
28,Madhya Pradesh,Jabalpur,1447.0,71.3,26.6,2.1,32.0,19.57,23.0,80.0,SUGARCANE,VERTIC SOILS 
29,Madhya Pradesh,Balaghat,1474.0,57.9,39.4,2.8,31.21,18.96,22.1,80.6,SUGARCANE,VERTIC SOILS 
30,Madhya Pradesh,Balaghat,1474.0,64.8,33.3,1.9,31.39,19.13,22.1,80.6,SUGARCANE,VERTIC SOILS 
31,Madhya Pradesh,Balaghat,1474.0,54.0,42.8,3.1,30.99,18.73,22.1,80.6,SUGARCANE,VERTIC SOILS 
32,Madhya Pradesh,Balaghat,1474.0,59.3,38.4,2.3,31.74,19.48,22.1,80.6,SUGARCANE,VERTIC SOILS 
33,Madhya Pradesh,Balaghat,1474.0,58.6,38.7,2.8,31.42,19.79,22.1,80.6,SUGARCANE,VERTIC SOILS 
34,Madhya Pradesh,Chhindwara,1094.0,64.4,26.7,8.9,30.85,18.89,22.1,79.0,SUGARCANE,VERTIC SOILS 
35,Madhya Pradesh,Chhindwara,1094.0,66.9,27.0,6.1,30.84,18.88,22.1,79.0,SUGARCANE,VERTIC SOILS 
36,Madhya Pradesh,Chhindwara,1094.0,72.8,23.5,3.8,30.39,18.43,22.1,79.0,SUGARCANE,VERTIC SOILS 
37,Madhya Pradesh,Chhindwara,1094.0,66.6,27.2,6.3,31.35,19.4,22.1,79.0,SUGARCANE,VERTIC SOILS 
38,Madhya Pradesh,Chhindwara,1094.0,68.4,26.0,5.7,30.92,19.63,22.1,79.0,MAIZE,VERTIC SOILS 
43,Madhya Pradesh,Mandla,1425.0,71.6,27.0,1.4,31.25,18.15,25.0,88.1,SUGARCANE,VERTIC SOILS 
44,Madhya Pradesh,Mandla,1425.0,76.8,21.9,1.3,31.41,18.3,25.0,88.1,GROUNDNUT,VERTIC SOILS 
45,Madhya Pradesh,Mandla,1425.0,74.4,24.7,0.9,30.99,17.89,25.0,88.1,SUGARCANE,VERTIC SOILS 
46,Madhya Pradesh,Mandla,1425.0,68.1,30.7,1.2,31.71,18.61,25.0,88.1,SUGARCANE,VERTIC SOILS 
47,Madhya Pradesh,Mandla,1425.0,75.2,23.9,1.0,31.48,18.9,25.0,88.1,SUGARCANE,VERTIC SOILS 
48,Madhya Pradesh,Sagar,1395.0,46.3,50.4,3.3,31.6,19.79,23.9,78.8,BARLEY,VERTIC SOILS 
50,Madhya Pradesh,Sagar,1395.0,51.9,47.5,0.6,31.11,19.29,23.9,78.8,SUGARCANE,VERTIC SOILS 
51,Madhya Pradesh,Sagar,1395.0,55.2,43.8,1.0,32.3,20.49,23.9,78.8,SUGARCANE,VERTIC SOILS 
52,Madhya Pradesh,Sagar,1395.0,51.1,46.5,2.3,31.81,20.67,23.9,78.8,WHEAT,VERTIC SOILS 
53,Madhya Pradesh,Damoh,1218.0,53.6,44.5,1.9,32.08,19.55,24.1,79.6,WHEAT,VERTIC SOILS 
54,Madhya Pradesh,Damoh,1218.0,49.9,49.4,0.8,32.13,19.59,24.1,79.6,SUGARCANE,VERTIC SOILS 
55,Madhya Pradesh,Damoh,1218.0,56.7,43.1,0.2,31.68,19.14,24.1,79.6,SUGARCANE,VERTIC SOILS 
56,Madhya Pradesh,Damoh,1218.0,63.9,35.5,0.6,32.66,20.12,24.1,79.6,SUGARCANE,VERTIC SOILS 
58,Madhya Pradesh,Tikamgarh,1100.0,64.8,34.8,0.4,32.51,19.38,24.9,78.9,SUGARCANE,VERTIC SOILS 
59,Madhya Pradesh,Tikamgarh,1100.0,49.5,50.4,0.1,32.44,19.3,24.9,78.9,SUGARCANE,VERTIC SOILS 
60,Madhya Pradesh,Tikamgarh,1100.0,55.5,44.4,0.1,31.95,18.81,24.9,78.9,SUGARCANE,VERTIC SOILS 
61,Madhya Pradesh,Tikamgarh,1100.0,65.2,33.7,1.2,33.24,20.1,24.9,78.9,SUGARCANE,VERTIC SOILS 
62,Madhya Pradesh,Tikamgarh,1100.0,66.2,33.8,0.1,32.7,20.29,24.9,78.9,SUGARCANE,VERTIC SOILS 
63,Madhya Pradesh,Chhatarpur,1044.0,58.0,41.4,0.6,32.53,19.24,25.1,79.5,SUGARCANE,VERTIC SOILS 
64,Madhya Pradesh,Chhatarpur,1044.0,56.7,43.0,0.3,32.58,19.29,25.1,79.5,WHEAT,VERTIC SOILS 
65,Madhya Pradesh,Panna,1186.0,54.9,44.4,0.7,32.16,19.04,24.3,80.0,SUGARCANE,VERTIC SOILS 
66,Madhya Pradesh,Panna,1186.0,53.3,46.4,0.2,32.29,19.17,24.3,80.0,SUGARCANE,VERTIC SOILS 
67,Madhya Pradesh,Panna,1186.0,57.2,42.5,0.3,31.85,18.73,24.3,80.0,SUGARCANE,VERTIC SOILS 
69,Madhya Pradesh,Panna,1186.0,57.9,42.1,0.1,32.39,19.56,24.3,80.0,BARLEY,VERTIC SOILS 
71,Madhya Pradesh,Rewa,1079.0,62.7,36.9,0.4,32.47,19.68,24.5,81.3,WHEAT,VERTIC SOILS 
72,Madhya Pradesh,Sidhi,1174.0,63.2,36.2,0.6,31.63,19.57,24.3,82.0,BARLEY,USTALF/USTOLLS 
73,Madhya Pradesh,Sidhi,1174.0,63.6,35.8,0.6,32.04,19.5,24.3,82.0,SUGARCANE,USTALF/USTOLLS 
74,Madhya Pradesh,Sidhi,1174.0,68.3,31.2,0.5,31.52,19.27,24.3,82.0,SUGARCANE,USTALF/USTOLLS 
75,Madhya Pradesh,Sidhi,1174.0,65.2,34.0,0.7,31.83,19.28,24.3,82.0,WHEAT,USTALF/USTOLLS 
76,Madhya Pradesh,Sidhi,1174.0,63.9,35.8,0.3,32.04,19.45,24.3,82.0,BARLEY,USTALF/USTOLLS 
77,Madhya Pradesh,Satna,1138.0,58.8,40.0,1.2,32.15,19.12,24.6,80.1,RICE,VERTIC SOILS 
78,Madhya Pradesh,Satna,1138.0,57.3,42.0,0.7,32.33,19.21,24.6,80.1,SUGARCANE,VERTIC SOILS 
79,Madhya Pradesh,Satna,1138.0,68.6,31.1,0.3,31.92,18.87,24.6,80.1,WHEAT,VERTIC SOILS 
80,Madhya Pradesh,Satna,1138.0,65.0,33.5,1.5,32.15,19.0,24.6,80.1,WHEAT,VERTIC SOILS 
81,Madhya Pradesh,Satna,1138.0,64.9,34.5,0.6,32.37,19.19,24.6,80.1,WHEAT,VERTIC SOILS 
82,Madhya Pradesh,Shahdol,1335.0,58.9,40.6,0.6,31.65,19.15,23.5,81.1,RICE,VERTIC SOILS 
83,Madhya Pradesh,Shahdol,1335.0,63.0,35.4,1.6,31.84,19.31,23.5,81.1,WHEAT,VERTIC SOILS 
84,Madhya Pradesh,Shahdol,1335.0,60.8,38.1,1.1,31.44,18.93,23.5,81.1,SUGARCANE,VERTIC SOILS 
86,Madhya Pradesh,Shahdol,1335.0,63.7,35.5,0.8,31.86,19.39,23.5,81.1,MAIZE,VERTIC SOILS 
87,Madhya Pradesh,Gwalior,900.0,67.1,31.9,1.0,32.4,19.58,26.2,78.3,BARLEY,VERTIC SOILS 
88,Madhya Pradesh,Gwalior,900.0,66.0,33.1,0.9,32.19,19.72,26.2,78.3,WHEAT,VERTIC SOILS 
89,Madhya Pradesh,Gwalior,900.0,73.6,25.7,0.6,32.15,19.25,26.2,78.3,SUGARCANE,VERTIC SOILS 
90,Madhya Pradesh,Gwalior,900.0,73.9,25.6,0.5,32.17,19.48,26.2,78.3,WHEAT,VERTIC SOILS 
91,Madhya Pradesh,Gwalior,900.0,76.1,23.0,0.9,32.41,19.65,26.2,78.3,SUGARCANE,VERTIC SOILS 
92,Madhya Pradesh,Shivpuri,1179.0,53.3,45.6,1.1,32.45,19.07,24.6,77.5,WHEAT,VERTIC SOILS 
93,Madhya Pradesh,Shivpuri,1179.0,53.7,45.6,0.8,32.31,18.94,24.6,77.5,WHEAT,VERTIC SOILS 
94,Madhya Pradesh,Shivpuri,1179.0,58.2,40.0,1.9,31.97,18.59,24.6,77.5,WHEAT,VERTIC SOILS 
95,Madhya Pradesh,Shivpuri,1179.0,58.7,40.7,0.6,32.96,19.58,24.6,77.5,WHEAT,VERTIC SOILS 
96,Madhya Pradesh,Shivpuri,1179.0,57.7,41.2,1.1,32.64,19.74,24.6,77.5,SUGARCANE,VERTIC SOILS 
97,Madhya Pradesh,Guna,1222.0,58.8,40.3,0.9,32.68,19.1,24.7,77.3,BARLEY,VERTIC SOILS 
98,Madhya Pradesh,Guna,1222.0,54.8,44.9,0.3,32.44,18.85,24.7,77.3,WHEAT,VERTIC SOILS 
99,Madhya Pradesh,Guna,1222.0,62.7,37.0,0.3,32.1,18.51,24.7,77.3,WHEAT,VERTIC SOILS 
100,Madhya Pradesh,Guna,1222.0,64.5,35.3,0.2,33.5,19.91,24.7,77.3,WHEAT,VERTIC SOILS 
101,Madhya Pradesh,Datia,973.0,64.6,34.5,0.9,32.76,19.64,25.7,78.5,SUGARCANE,VERTIC SOILS 
102,Madhya Pradesh,Datia,973.0,65.8,32.3,2.0,32.69,19.7,25.7,78.5,SUGARCANE,VERTIC SOILS 
103,Madhya Pradesh,Datia,973.0,78.4,20.7,0.9,32.46,19.31,25.7,78.5,SUGARCANE,VERTIC SOILS 
104,Madhya Pradesh,Datia,973.0,75.9,24.0,0.1,32.68,19.61,25.7,78.5,SUGARCANE,VERTIC SOILS 
105,Madhya Pradesh,Datia,973.0,89.9,9.8,0.3,32.88,19.77,25.7,78.5,SUGARCANE,VERTIC SOILS 
106,Madhya Pradesh,Morena,927.0,70.0,29.7,0.3,32.35,19.93,25.1,76.7,RICE,VERTIC SOILS 
107,Madhya Pradesh,Morena,927.0,68.4,31.1,0.5,31.99,20.15,25.1,76.7,SUGARCANE,VERTIC SOILS 
108,Madhya Pradesh,Morena,927.0,79.1,20.2,0.7,32.14,19.57,25.1,76.7,SUGARCANE,VERTIC SOILS 
109,Madhya Pradesh,Morena,927.0,76.7,22.6,0.7,32.05,19.84,25.1,76.7,SUGARCANE,VERTIC SOILS 
110,Madhya Pradesh,Morena,927.0,78.6,20.8,0.5,32.27,20.02,25.1,76.7,WHEAT,VERTIC SOILS 
111,Madhya Pradesh,Bhind,1148.0,67.5,31.5,1.0,32.39,20.04,21.9,77.7,RICE,VERTIC SOILS 
112,Madhya Pradesh,Bhind,1148.0,60.2,39.5,0.3,32.1,20.33,21.9,77.7,WHEAT,VERTIC SOILS 
113,Madhya Pradesh,Bhind,1148.0,68.9,30.6,0.5,32.22,19.72,21.9,77.7,RICE,VERTIC SOILS 
114,Madhya Pradesh,Bhind,1148.0,71.2,28.6,0.2,32.14,19.99,21.9,77.7,WHEAT,VERTIC SOILS 
115,Madhya Pradesh,Bhind,1148.0,73.2,26.6,0.2,32.35,20.17,21.9,77.7,RICE,VERTIC SOILS 
116,Madhya Pradesh,Indore,1054.0,45.2,47.1,7.7,32.38,19.01,22.7,75.8,WHEAT,VERTIC SOILS 
117,Madhya Pradesh,Indore,1054.0,48.4,44.1,7.5,31.96,18.59,22.7,75.8,WHEAT,VERTIC SOILS 
118,Madhya Pradesh,Indore,1054.0,59.0,34.5,6.4,31.54,18.17,22.7,75.8,SUGARCANE,VERTIC SOILS 
119,Madhya Pradesh,Indore,1054.0,54.8,38.2,7.1,32.91,19.54,22.7,75.8,WHEAT,VERTIC SOILS 
120,Madhya Pradesh,Indore,1054.0,53.2,38.4,8.4,32.58,19.67,22.7,75.8,WHEAT,VERTIC SOILS 
121,Madhya Pradesh,Ratlam,1078.0,56.5,38.9,4.7,32.58,19.94,23.0,75.0,BARLEY,VERTIC SOILS 
122,Madhya Pradesh,Ratlam,1078.0,60.2,35.2,4.6,31.98,19.33,23.0,75.0,SUGARCANE,VERTIC SOILS 
123,Madhya Pradesh,Ratlam,1078.0,59.2,33.7,7.1,32.72,20.57,23.0,75.0,WHEAT,VERTIC SOILS 
124,Madhya Pradesh,Ujjain,1088.0,41.7,53.6,4.6,32.43,19.39,23.3,75.7,WHEAT,VERTIC SOILS 
125,Madhya Pradesh,Ujjain,1088.0,49.7,47.0,3.4,31.95,18.91,23.3,75.7,WHEAT,VERTIC SOILS 
126,Madhya Pradesh,Ujjain,1088.0,56.3,38.9,4.7,31.59,18.55,23.3,75.7,SUGARCANE,VERTIC SOILS 
127,Madhya Pradesh,Mandsaur,962.0,50.3,44.5,5.1,32.66,19.89,24.3,75.2,BARLEY,VERTIC SOILS 
128,Madhya Pradesh,Mandsaur,962.0,57.1,38.1,4.8,32.15,19.38,24.3,75.2,WHEAT,VERTIC SOILS 
129,Madhya Pradesh,Mandsaur,962.0,63.2,32.5,4.4,31.87,19.1,24.3,75.2,WHEAT,VERTIC SOILS 
130,Madhya Pradesh,Mandsaur,962.0,61.8,31.7,6.5,33.32,20.55,24.3,75.2,WHEAT,VERTIC SOILS 
131,Madhya Pradesh,Mandsaur,962.0,62.2,29.7,8.1,32.81,20.61,24.3,75.2,WHEAT,VERTIC SOILS 
132,Madhya Pradesh,Dewas,1079.0,52.1,43.5,4.4,33.12,19.79,22.6,76.4,WHEAT,VERTIC SOILS 
133,Madhya Pradesh,Dewas,1079.0,51.6,42.9,5.5,32.81,19.48,22.6,76.4,WHEAT,VERTIC SOILS 
134,Madhya Pradesh,Dewas,1079.0,59.2,36.8,4.0,32.35,19.02,22.6,76.4,SUGARCANE,VERTIC SOILS 
135,Madhya Pradesh,Dewas,1079.0,58.9,36.6,4.5,33.66,20.33,22.6,76.4,WHEAT,VERTIC SOILS 
136,Madhya Pradesh,Dewas,1079.0,58.0,35.7,6.3,33.25,20.48,22.6,76.4,WHEAT,VERTIC SOILS 
137,Madhya Pradesh,Dhar,915.0,56.2,39.3,4.5,33.44,20.13,22.5,75.0,WHEAT,VERTIC SOILS 
138,Madhya Pradesh,Dhar,915.0,58.4,37.0,4.6,32.94,19.63,22.5,75.0,WHEAT,VERTIC SOILS 
139,Madhya Pradesh,Dhar,915.0,63.4,32.9,3.8,32.61,19.3,22.5,75.0,MAIZE,VERTIC SOILS 
140,Madhya Pradesh,Dhar,915.0,59.5,34.6,5.8,33.95,20.64,22.5,75.0,WHEAT,VERTIC SOILS 
141,Madhya Pradesh,Dhar,915.0,63.0,31.9,5.1,33.71,20.75,22.5,75.0,SUGARCANE,VERTIC SOILS 
142,Madhya Pradesh,Jhabua,768.0,69.6,27.8,2.5,33.13,20.46,22.6,74.4,WHEAT,VERTIC SOILS 
143,Madhya Pradesh,Jhabua,768.0,72.5,25.3,2.3,32.53,19.86,22.6,74.4,SUGARCANE,VERTIC SOILS 
144,Madhya Pradesh,Jhabua,768.0,79.7,18.9,1.4,32.28,19.61,22.6,74.4,SUGARCANE,VERTIC SOILS 
145,Madhya Pradesh,Jhabua,768.0,74.7,22.0,3.3,33.65,20.97,22.6,74.4,WHEAT,VERTIC SOILS 
146,Madhya Pradesh,Jhabua,768.0,75.0,21.3,3.7,33.35,21.04,22.6,74.4,WHEAT,VERTIC SOILS 
147,Madhya Pradesh,Sehore,1169.0,54.1,43.6,2.3,32.54,19.77,22.9,77.1,SUGARCANE,VERTIC SOILS 
148,Madhya Pradesh,Sehore,1169.0,57.0,40.6,2.4,32.3,19.53,22.9,77.1,SUGARCANE,VERTIC SOILS 
149,Madhya Pradesh,Sehore,1169.0,61.6,36.9,1.5,31.91,19.14,22.9,77.1,SUGARCANE,VERTIC SOILS 
150,Madhya Pradesh,Sehore,1169.0,63.3,35.4,1.2,33.14,20.37,22.9,77.1,WHEAT,VERTIC SOILS 
151,Madhya Pradesh,Sehore,1169.0,61.0,37.5,1.5,32.61,20.52,22.9,77.1,RICE,VERTIC SOILS 
152,Madhya Pradesh,Raisen,1595.0,56.8,41.4,1.8,31.98,20.05,23.2,78.2,BARLEY,VERTIC SOILS 
153,Madhya Pradesh,Raisen,1595.0,59.0,40.2,0.8,31.84,19.91,23.2,78.2,WHEAT,VERTIC SOILS 
154,Madhya Pradesh,Raisen,1595.0,61.7,37.5,0.8,31.46,19.53,23.2,78.2,BARLEY,VERTIC SOILS 
155,Madhya Pradesh,Raisen,1595.0,61.4,37.8,0.8,32.62,20.7,23.2,78.2,SUGARCANE,VERTIC SOILS 
156,Madhya Pradesh,Raisen,1595.0,62.7,36.2,1.1,32.08,20.88,23.2,78.2,WHEAT,VERTIC SOILS 
157,Madhya Pradesh,Vidisha,1331.0,48.9,48.0,3.1,32.08,19.58,23.9,77.9,BARLEY,VERTIC SOILS 
158,Madhya Pradesh,Vidisha,1331.0,47.2,52.2,0.6,31.9,19.4,23.9,77.9,MAIZE,VERTIC SOILS 
160,Madhya Pradesh,Betul,1129.0,65.7,30.6,3.7,31.37,19.1,21.9,77.9,SUGARCANE,VERTIC SOILS 
161,Madhya Pradesh,Betul,1129.0,65.6,31.5,2.9,31.29,19.03,21.9,77.9,SUGARCANE,VERTIC SOILS 
162,Madhya Pradesh,Betul,1129.0,69.1,28.6,2.4,30.86,18.6,21.9,77.9,SUGARCANE,VERTIC SOILS 
163,Madhya Pradesh,Betul,1129.0,65.9,30.3,3.8,31.91,19.64,21.9,77.9,GROUNDNUT,VERTIC SOILS 
164,Madhya Pradesh,Betul,1129.0,70.3,25.4,4.3,31.5,19.86,21.9,77.9,SUGARCANE,VERTIC SOILS 
165,Madhya Pradesh,Rajgarh,1157.0,50.4,47.3,2.3,33.07,19.78,23.9,76.8,BARLEY,VERTIC SOILS 
166,Madhya Pradesh,Rajgarh,1157.0,53.2,44.7,2.1,32.77,19.48,23.9,76.8,SUGARCANE,VERTIC SOILS 
167,Madhya Pradesh,Shajapur,1117.0,42.2,53.6,4.3,32.65,19.47,23.4,76.4,WHEAT,VERTIC SOILS 
168,Madhya Pradesh,Shajapur,1117.0,49.1,47.0,3.8,32.34,19.16,23.4,76.4,SUGARCANE,VERTIC SOILS 
169,Madhya Pradesh,Shajapur,1117.0,48.3,47.5,4.2,31.92,18.75,23.4,76.4,SUGARCANE,VERTIC SOILS 
170,Madhya Pradesh,Shajapur,1117.0,47.6,47.2,5.2,33.31,20.13,23.4,76.4,WHEAT,VERTIC SOILS 
171,Madhya Pradesh,Shajapur,1117.0,45.2,49.3,5.6,32.77,20.26,23.4,76.4,WHEAT,VERTIC SOILS 
172,Madhya Pradesh,Hoshangabad,1385.0,62.2,35.6,2.2,32.06,19.91,22.8,77.8,WHEAT,VERTIC SOILS 
173,Madhya Pradesh,Hoshangabad,1385.0,63.9,34.7,1.4,31.92,19.77,22.8,77.8,WHEAT,VERTIC SOILS 
174,Madhya Pradesh,Hoshangabad,1385.0,68.0,31.3,0.7,31.52,19.37,22.8,77.8,SUGARCANE,VERTIC SOILS 
175,Madhya Pradesh,Hoshangabad,1385.0,65.1,33.6,1.3,32.6,20.44,22.8,77.8,WHEAT,VERTIC SOILS 
176,Madhya Pradesh,Hoshangabad,1385.0,67.3,31.0,1.7,32.1,20.63,22.8,77.8,SUGARCANE,VERTIC SOILS 
177,Andhra Pradesh,Srikakulam,1104.0,66.6,25.8,7.6,30.83,23.13,18.6,84.3,MAIZE,ORTHIDS 
178,Andhra Pradesh,Srikakulam,1104.0,70.1,21.6,8.3,31.24,23.43,18.6,84.3,MAIZE,ORTHIDS 
179,Andhra Pradesh,Srikakulam,1104.0,71.2,20.8,8.0,30.8,23.09,18.6,84.3,SUGARCANE,ORTHIDS 
180,Andhra Pradesh,Srikakulam,1104.0,67.4,19.3,13.3,31.14,23.29,18.6,84.3,SUGARCANE,ORTHIDS 
181,Andhra Pradesh,Srikakulam,1104.0,67.0,24.4,8.6,31.22,23.44,18.6,84.3,SUGARCANE,ORTHIDS 
182,Andhra Pradesh,Visakhapatnam,975.0,74.7,17.2,8.0,29.07,20.74,17.7,83.3,MAIZE,ORTHIDS 
183,Andhra Pradesh,Visakhapatnam,975.0,81.7,10.7,7.7,29.3,20.97,17.7,83.3,MAIZE,ORTHIDS 
184,Andhra Pradesh,Visakhapatnam,975.0,77.8,10.8,11.4,29.07,20.74,17.7,83.3,SUGARCANE,ORTHIDS 
185,Andhra Pradesh,Visakhapatnam,975.0,72.0,17.6,10.4,29.51,21.17,17.7,83.3,SUGARCANE,ORTHIDS 
186,Andhra Pradesh,Visakhapatnam,975.0,72.4,21.5,6.1,29.37,21.37,17.7,83.3,SUGARCANE,ORTHIDS 
187,Andhra Pradesh,East Godavari,1088.0,60.3,26.1,13.6,31.0,22.4,17.0,82.2,MAIZE,ORTHIDS 
188,Andhra Pradesh,East Godavari,1088.0,63.5,24.5,12.0,31.03,22.43,17.0,82.2,MAIZE,ORTHIDS 
189,Andhra Pradesh,East Godavari,1088.0,65.3,23.1,11.6,30.82,22.23,17.0,82.2,SUGARCANE,ORTHIDS 
190,Andhra Pradesh,East Godavari,1088.0,61.9,20.6,17.5,31.37,22.77,17.0,82.2,SUGARCANE,ORTHIDS 
191,Andhra Pradesh,East Godavari,1088.0,62.6,23.0,14.5,31.2,22.95,17.0,82.2,MAIZE,ORTHIDS 
192,Andhra Pradesh,West Godavari,1062.0,55.7,28.3,16.0,32.24,23.23,16.8,81.5,MAIZE,ORTHIDS 
193,Andhra Pradesh,West Godavari,1062.0,58.4,26.0,15.6,32.24,23.24,16.8,81.5,MAIZE,ORTHIDS 
194,Andhra Pradesh,West Godavari,1062.0,57.7,24.8,17.5,31.97,22.97,16.8,81.5,SUGARCANE,ORTHIDS 
195,Andhra Pradesh,West Godavari,1062.0,57.1,24.0,18.9,32.67,23.66,16.8,81.5,SUGARCANE,ORTHIDS 
196,Andhra Pradesh,West Godavari,1062.0,55.1,28.2,16.6,32.43,23.84,16.8,81.5,SUGARCANE,ORTHIDS 
197,Andhra Pradesh,Krishna,1065.0,59.5,30.8,9.8,32.93,23.5,16.2,81.1,MAIZE,ORTHIDS 
198,Andhra Pradesh,Krishna,1065.0,59.6,29.1,11.2,32.97,23.54,16.2,81.1,MAIZE,ORTHIDS 
